condition,mode,harmonic,freq_rmse_cents,amp_ratio_std_db,amp_ratio_bias_db,true_amp_ratio_db,n_valid_frames
vibrato,adaptive_c4,4,1.6540766933796107,0.005661535130331755,-0.006287803549550386,-3.331039670989883,97
vibrato,adaptive_c4,5,1.7453725734722407,0.007453366026044115,-0.008753067542343729,-4.441386227986509,97
harmonic_stack_f0_75,fixed,1,19.537103160944156,nan,nan,0.0,97
harmonic_stack_f0_75,fixed,2,6.962908244395068,0.00348522928505236,-0.00420831750198003,-1.1103465569966273,97
harmonic_stack_f0_75,fixed,3,2.7918904573336643,0.008893989106939348,-0.007058081770468405,-2.220693113993255,97
harmonic_stack_f0_75,fixed,4,1.5364836374022317,0.010208070070070886,-0.007079395180243697,-3.331039670989883,97
harmonic_stack_f0_75,fixed,5,1.5216714958792317,0.008822178806656245,-0.006357272058240326,-4.441386227986509,97
harmonic_stack_f0_75,adaptive_c2,1,28.313679494098892,nan,nan,0.0,97
harmonic_stack_f0_75,adaptive_c2,2,37.359908984151375,0.040215745476509544,0.013084579746985847,-1.1103465569966273,97
harmonic_stack_f0_75,adaptive_c2,3,15.938708286527646,0.018573281419797427,-0.0005440556926719076,-2.220693113993255,97
harmonic_stack_f0_75,adaptive_c2,4,4.3377782984139195,0.007943566923254018,-0.006688640468003548,-3.331039670989883,97
harmonic_stack_f0_75,adaptive_c2,5,6.077904114399423,0.0032108154786000334,0.0013652021583627771,-4.441386227986509,97
harmonic_stack_f0_75,adaptive_c3,1,19.537103160944156,nan,nan,0.0,97
harmonic_stack_f0_75,adaptive_c3,2,6.962908244395068,0.00348522928505236,-0.00420831750198003,-1.1103465569966273,97
harmonic_stack_f0_75,adaptive_c3,3,2.7918904573336643,0.008893989106939348,-0.007058081770468405,-2.220693113993255,97
harmonic_stack_f0_75,adaptive_c3,4,1.5364836374022317,0.010208070070070886,-0.007079395180243697,-3.331039670989883,97
harmonic_stack_f0_75,adaptive_c3,5,1.5216714958792317,0.008822178806656245,-0.006357272058240326,-4.441386227986509,97
harmonic_stack_f0_75,adaptive_c4,1,12.260413701050904,nan,nan,0.0,95
harmonic_stack_f0_75,adaptive_c4,2,3.6245153837326813,0.0048411499353180724,-0.004270696314722544,-1.1103465569966273,95
harmonic_stack_f0_75,adaptive_c4,3,1.4219126468620307,0.009058234198475255,-0.006038058778469857,-2.220693113993255,95
harmonic_stack_f0_75,adaptive_c4,4,0.9692120689939134,0.00863799979365463,-0.004905645585905116,-3.331039670989883,95
harmonic_stack_f0_75,adaptive_c4,5,1.2969118407486595,0.006466486443495516,-0.003955267853251954,-4.441386227986509,95
harmonic_stack_f0_300,fixed,1,3.0589999426474987,nan,nan,0.0,97
harmonic_stack_f0_300,fixed,2,0.7541969031049383,7.355348622935672e-14,-0.0025339680201175163,-1.1103465569966273,97
harmonic_stack_f0_300,fixed,3,0.15887357833882296,2.0336647154696228e-13,-0.0027803255077576416,-2.220693113993255,97
harmonic_stack_f0_300,fixed,4,0.133876780798718,2.2591923294879618e-13,-0.0025237375007809426,-3.331039670989883,97
harmonic_stack_f0_300,fixed,5,0.3919963459110473,2.4894160065885164e-13,-0.0011949240638866598,-4.441386227986509,97
harmonic_stack_f0_300,adaptive_c2,1,4.567927648414218,nan,nan,0.0,98
harmonic_stack_f0_300,adaptive_c2,2,0.8067087787974214,1.7873841572241314e-13,0.08262942766045533,-1.1103465569966273,98
harmonic_stack_f0_300,adaptive_c2,3,1.2001425791004228,4.075913414908257e-13,0.06749302328124296,-2.220693113993255,98
harmonic_stack_f0_300,adaptive_c2,4,0.9518047200662593,4.276139703527746e-13,0.01498809656988831,-3.331039670989883,98
harmonic_stack_f0_300,adaptive_c2,5,0.006764076032934931,4.155846369498509e-13,-0.014080549390020458,-4.441386227986509,98
harmonic_stack_f0_300,adaptive_c3,1,4.567927648414218,nan,nan,0.0,98
harmonic_stack_f0_300,adaptive_c3,2,0.8067087787974214,1.7873841572241314e-13,0.08262942766045533,-1.1103465569966273,98
harmonic_stack_f0_300,adaptive_c3,3,1.2001425791004228,4.075913414908257e-13,0.06749302328124296,-2.220693113993255,98
harmonic_stack_f0_300,adaptive_c3,4,0.9518047200662593,4.276139703527746e-13,0.01498809656988831,-3.331039670989883,98
harmonic_stack_f0_300,adaptive_c3,5,0.006764076032934931,4.155846369498509e-13,-0.014080549390020458,-4.441386227986509,98
harmonic_stack_f0_300,adaptive_c4,1,4.567927648414218,nan,nan,0.0,98
harmonic_stack_f0_300,adaptive_c4,2,0.8067087787974214,1.7873841572241314e-13,0.08262942766045533,-1.1103465569966273,98
